Name, time, ang1, ang2, ang3, edg1, edg2, edg3, orn1, orn2, orn3, vel1, vel2, vel3, fang1, fang2, fang3
000AC172,39749,0, 0, 0,1, 1, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -2.8773356867118454e-37,172.04859924316406, 186.15525817871094, 104.19596862792969
000AC172,39759,180.0, 180.0, 105.39629364013672,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,39773,0, 0, 0,0, 0, 0,0, 0, 0,-8.678971420773539e-34, 1.8747972154201728e-41, 1.8747972154201728e-41,180.23825073242188, 197.2296600341797, 107.99729919433594
00D00BCE,39780,180.49745178222656, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,39788,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, 402278464.0,185.69383239746094, 168.0275421142578, 104.26188659667969
00D00BCE,39800,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,180.19430541992188, 159.12847900390625, 149.28456115722656
000AC172,39808,0, 0, 0,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,39810,0, 0, 0,0, 0, 0,0, 0, 0,-67.6020736694336, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
000AC172,39819,180.0, 180.0, 105.39706420898438,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,39838,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -7778632704.0,155.10740661621094, 178.24497985839844, 104.19596862792969
00D00BCE,39839,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,39849,180.47222900390625, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,180.19430541992188, 181.18936157226562, 160.00738525390625
000AC172,39858,0, 0, 0,1, 1, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,39869,180.0, 180.0, 105.42120361328125,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,39870,0, 0, 0,0, 0, 0,0, 0, 0,-0.0011459667002782226, 1.8747972154201728e-41, 1.8747972154201728e-41,0, 0, 0
000AC172,39888,0, 0, 0,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -0.09952212870121002,150.18545532226562, 166.6871795654297, 104.15202331542969
