Name, time, ang1, ang2, ang3, edg1, edg2, edg3, orn1, orn2, orn3, vel1, vel2, vel3, fang1, fang2, fang3
00D00BCE,345128,180.6044158935547, 180.0, 180.0,0, 0, 0,0, 0, 0,-5.407426362951564e-38, 1.8747972154201728e-41, 1.8747972154201728e-41,180.37008666992188, 164.33607482910156, 97.49420166015625
000AC172,345133,180.0, 180.0, 106.43436431884766,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -1.1540443267676892e-07,153.52536010742188, 162.88584899902344, 106.08564758300781
000AC172,345159,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,168.0275421142578, 186.814453125, 106.06367492675781
00D00BCE,345158,0, 0, 0,0, 0, 0,0, 0, 0,1.7076234523627498e-11, 1.8747972154201728e-41, 1.8747972154201728e-41,180.32614135742188, 164.00648498535156, 100.39463806152344
00D00BCE,345165,0, 0, 0,0, 0, 1,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345179,180.0, 180.0, 106.43742370605469,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, 1.1709125964827483e-13,0, 0, 0
00D00BD2,345143,180.62451171875, 106.42691802978516, 180.0,0, 0, 0,0, 0, 0,-9.47921437101512e-28, -7.869660377502441, 1.8747972154201728e-41,179.2714385986328, 103.27310180664062, 162.44639587402344
00D00BD2,345151,180.61309814453125, 106.4264907836914, 180.0,0, 0, 0,0, 0, 0,-92988268544.0, 3.917510969787786e-16, 1.8747972154201728e-41,179.1835479736328, 103.29507446289062, 186.92431640625
00D00BCE,345198,180.6076202392578, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,345201,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.1615753173828, 103.31704711914062, 170.04905700683594
000AC172,345209,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,165.34683227539062, 186.5947265625, 106.06367492675781
00D00BCE,345208,0, 0, 0,0, 0, 0,0, 0, 0,-1.8361146528205678e-29, 1.8747972154201728e-41, 1.8747972154201728e-41,180.39205932617188, 172.48805236816406, 81.38799285888672
00D00BD2,345211,0, 0, 0,0, 0, 0,0, 0, 0,2.0821297962248405e-26, -1.4752275943756104, 1.8747972154201728e-41,0, 0, 0
00D00BD2,345221,180.63583374023438, 106.42623138427734, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345228,180.0, 180.0, 106.43728637695312,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, 0.4156818985939026,0, 0, 0
00D00BCE,345228,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,345248,180.62841796875, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345259,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,151.98724365234375, 177.34408569335938, 106.01972961425781
00D00BD2,345261,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.2714385986328, 103.27310180664062, 172.37818908691406
00D00BCE,345258,0, 0, 0,0, 0, 0,0, 0, 0,5.668525318469619e-06, 1.8747972154201728e-41, 1.8747972154201728e-41,180.34811401367188, 185.38621520996094, 168.4669952392578
00D00BCE,345277,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345278,180.0, 180.0, 106.42900848388672,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, 1.336312698523256e-30,0, 0, 0
00D00BD2,345281,0, 0, 0,0, 0, 0,0, 0, 0,-1.1951623501635367e-12, 8.159361371331626e-32, 1.8747972154201728e-41,0, 0, 0
00D00BD2,345291,180.66110229492188, 106.42459869384766, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,345298,180.64181518554688, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345305,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,155.986328125, 176.4651641845703, 106.06367492675781
00D00BCE,345307,0, 0, 0,0, 0, 0,0, 0, 0,5675553.5, 1.8747972154201728e-41, 1.8747972154201728e-41,180.37008666992188, 161.32577514648438, 121.15912628173828
00D00BD2,345320,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.2055206298828, 103.25112915039062, 164.90736389160156
000AC172,345328,180.0, 180.0, 106.42676544189453,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -0.001707680756226182,0, 0, 0
00D00BCE,345327,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,345331,0, 0, 0,0, 0, 0,0, 0, 0,-335445852160.0, -1.3050819910618317e+17, 1.8747972154201728e-41,0, 0, 0
00D00BD2,345340,180.67103576660156, 106.43628692626953, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,345347,180.65771484375, 180.0, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BCE,345354,0, 0, 0,0, 0, 0,0, 0, 0,-5.873596322866461e+21, 1.8747972154201728e-41, 1.8747972154201728e-41,180.39205932617188, 173.8503875732422, 113.55646514892578
000AC172,345358,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,158.2275848388672, 164.00648498535156, 106.08564758300781
00D00BD2,345370,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.1835479736328, 103.20718383789062, 161.43563842773438
000AC172,345378,180.0, 180.0, 106.43499755859375,0, 0, 0,0, 0, 0,1.8747972154201728e-41, 1.8747972154201728e-41, -4.832437783264254e-10,0, 0, 0
00D00BD2,345381,0, 0, 0,0, 0, 0,0, 0, 0,9.750083349957586e-31, 134046482956288.0, 1.8747972154201728e-41,0, 0, 0
00D00BCE,345387,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
00D00BD2,345390,180.66336059570312, 106.4383316040039, 180.0,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0
000AC172,345408,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,156.09619140625, 170.70823669433594, 106.08564758300781
00D00BD2,345416,0, 0, 0,0, 0, 0,0, 0, 0,0, 0, 0,179.2055206298828, 103.25112915039062, 175.9158477783203
