Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.004130,0.006201,0.003178,-54.973564,96.264656,15.589106,0.001922,0.001851,0.001164,-0.504486,-0.404933,1.397476,0.018879,-1.291092,-0.024762,9.729299,100.160614,78.163689
2,0,0.004024,0.006162,0.003128,-54.976597,96.265739,15.581499,0.001859,0.001812,0.001154,-0.505845,-0.404347,1.373218,0.018782,-1.291124,-0.024758,9.726419,100.159653,78.155045
3,0,0.004175,0.006203,0.003233,-54.977493,96.271515,15.570030,0.002017,0.001868,0.001124,-0.501980,-0.399094,1.392591,0.018668,-1.291199,-0.024852,9.727377,100.163780,78.141602
4,0,0.004468,0.006370,0.003316,-55.051662,96.340576,15.582939,0.001871,0.001839,0.001167,-0.510972,-0.401421,1.360593,0.018637,-1.291145,-0.024915,9.728775,100.169365,78.134193
5,0,0.004226,0.006346,0.003333,-55.054031,96.339951,15.586778,0.001933,0.001856,0.001158,-0.512531,-0.399064,1.369986,0.017544,-1.289957,-0.025685,9.685457,100.193054,78.195641
6,0,0.004089,0.006175,0.003206,-54.975815,96.274414,15.568186,0.001885,0.001810,0.001147,-0.512674,-0.395936,1.361806,0.018939,-1.291167,-0.024610,9.724782,100.166382,78.139984
7,0,0.004148,0.006274,0.003273,-54.976540,96.272079,15.577180,0.001935,0.001922,0.001146,-0.503651,-0.401741,1.404375,0.018757,-1.291233,-0.024855,9.726035,100.172134,78.152458
8,0,0.004260,0.006220,0.003217,-54.974297,96.272591,15.590937,0.002431,0.001831,0.002613,-0.681076,-0.746971,1.458884,0.018864,-1.291122,-0.024690,9.726274,100.169212,78.160202
9,0,0.004088,0.006256,0.003204,-54.974270,96.267746,15.596847,0.002417,0.001820,0.002651,-0.683536,-0.758830,1.459795,0.018745,-1.291105,-0.024786,9.733190,100.155930,78.166580
10,0,0.004183,0.006291,0.003217,-54.972744,96.262939,15.593328,0.001893,0.001779,0.001159,-0.509450,-0.404783,1.378962,0.018736,-1.291220,-0.024802,9.730892,100.155838,78.160233
11,0,0.004286,0.006387,0.003347,-55.054558,96.327049,15.606881,0.003119,0.002198,0.001690,-0.534930,-0.567447,1.635725,0.018821,-1.291199,-0.024863,9.726089,100.155602,78.153755
12,0,0.004090,0.006212,0.003159,-54.974289,96.262444,15.569837,0.002935,0.002239,0.001649,-0.533480,-0.550038,1.607763,0.018857,-1.291034,-0.024834,9.719839,100.159645,78.150032
