Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.001202,0.007969,0.003356,-55.054787,96.276657,15.462602,-0.000812,0.001425,0.000587,-0.393357,-0.407291,0.879458,0.006981,-1.326399,-0.026447,7.577828,100.527786,78.337509
2,0,0.001195,0.007995,0.003272,-55.057983,96.274048,15.456476,-0.000825,0.001507,0.000600,-0.394088,-0.410333,0.887418,0.007074,-1.326392,-0.026507,7.576902,100.528084,78.336189
3,0,0.001278,0.008044,0.003309,-55.051895,96.276550,15.455602,-0.000671,0.001315,0.000657,-0.405698,-0.424304,0.864680,0.006748,-1.326423,-0.026582,7.578248,100.526962,78.338448
4,0,0.001215,0.007874,0.003307,-55.054585,96.275780,15.460319,-0.000789,0.001343,0.000632,-0.401989,-0.414155,0.861223,0.006778,-1.326426,-0.026551,7.577754,100.525070,78.338081
5,0,0.001220,0.008025,0.003331,-55.053707,96.270958,15.463639,-0.000549,0.001344,0.000609,-0.397045,-0.414450,0.899618,0.006854,-1.326352,-0.026633,7.577072,100.527267,78.341042
6,0,0.001183,0.007910,0.003328,-55.054264,96.272018,15.466177,-0.000715,0.001484,0.000564,-0.390510,-0.409419,0.913085,0.006913,-1.326287,-0.026614,7.572010,100.525314,78.350082
7,0,0.001177,0.007872,0.003336,-55.056713,96.274239,15.472012,-0.000777,0.001335,0.000587,-0.401051,-0.404406,0.870833,0.006801,-1.326328,-0.026581,7.574310,100.525230,78.346352
8,0,0.001187,0.007908,0.003272,-55.056087,96.274147,15.466947,-0.000770,0.001427,0.000585,-0.398165,-0.408867,0.885382,0.006839,-1.326417,-0.026512,7.576014,100.525963,78.347687
9,0,0.001069,0.007902,0.003227,-55.057198,96.270050,15.466337,-0.000695,0.001328,0.000610,-0.401588,-0.409961,0.877022,0.006893,-1.326362,-0.026564,7.572112,100.527924,78.349663
10,0,0.001250,0.007940,0.003304,-55.056335,96.274353,15.462753,-0.000846,0.001445,0.000575,-0.397784,-0.404732,0.873819,0.006885,-1.326367,-0.026488,7.573220,100.527504,78.343895
