Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
31,0,0.011723,0.003862,0.000672,-54.944584,96.314995,15.631668,-0.000609,0.000386,0.002804,-0.648738,-0.827247,0.687841,0.016300,-1.328473,-0.036321,7.624709,99.575920,78.443985
32,0,0.011743,0.003935,0.000580,-54.946964,96.316551,15.634242,-0.000780,0.000509,0.002784,-0.645975,-0.825689,0.688226,0.020066,-1.328313,-0.034315,7.461987,99.584213,78.546646
33,0,0.011734,0.003833,0.000623,-54.943333,96.317001,15.633948,-0.000747,0.000494,0.002783,-0.644919,-0.824490,0.687634,0.019883,-1.328282,-0.034482,7.463280,99.585045,78.548256
34,0,0.011707,0.003762,0.000720,-54.940361,96.308868,15.637407,0.000566,0.001074,0.002384,-0.625246,-0.712665,1.010630,0.019874,-1.328232,-0.034400,7.464308,99.583893,78.557983
35,0,0.011650,0.003882,0.000668,-54.939156,96.310783,15.646811,-0.000610,0.000387,0.002805,-0.642249,-0.832634,0.693099,0.020015,-1.328266,-0.034414,7.466355,99.586197,78.563232
36,0,0.011742,0.003916,0.000688,-54.942493,96.311623,15.649755,-0.000765,0.000460,0.002805,-0.643947,-0.829337,0.690825,0.020030,-1.328340,-0.034320,7.468228,99.584137,78.557129
37,0,0.011729,0.003813,0.000678,-54.942879,96.315765,15.649141,-0.000493,0.000289,0.002797,-0.643359,-0.830093,0.691322,0.019827,-1.328343,-0.034482,7.469049,99.583504,78.555008
38,0,0.011734,0.003953,0.000604,-54.945690,96.315910,15.642944,-0.000578,0.000407,0.002818,-0.646419,-0.830028,0.697218,0.019915,-1.328372,-0.034436,7.467207,99.584740,78.551201
39,0,0.011783,0.003921,0.000678,-54.945663,96.316750,15.638042,-0.000641,0.000348,0.002820,-0.645882,-0.830674,0.676445,0.020063,-1.328347,-0.034318,7.461796,99.585152,78.547867
40,0,0.011798,0.003949,0.000646,-54.943821,96.312714,15.638369,-0.000506,0.000380,0.002784,-0.645266,-0.826954,0.701345,0.019895,-1.328214,-0.034365,7.458829,99.580566,78.554932
41,0,0.011641,0.003874,0.000678,-54.940430,96.310913,15.640968,0.000675,0.001026,0.002425,-0.634117,-0.720245,1.013131,0.020008,-1.328236,-0.034386,7.464675,99.585335,78.562256
42,0,0.011837,0.003879,0.000702,-54.937317,96.307564,15.640317,0.000579,0.001052,0.002408,-0.625291,-0.720591,1.005704,0.019992,-1.328254,-0.034364,7.467288,99.582375,78.557503
43,0,0.011699,0.003834,0.000634,-54.941803,96.308884,15.638387,0.000580,0.001086,0.002393,-0.625330,-0.713519,1.009319,0.020097,-1.328289,-0.034367,7.467570,99.583778,78.546715
44,0,0.011587,0.003810,0.000632,-54.943096,96.315147,15.634191,-0.000601,0.000399,0.002802,-0.645162,-0.828982,0.684638,0.019883,-1.328304,-0.034390,7.467018,99.584579,78.545692
45,0,0.011751,0.003845,0.000631,-54.942226,96.318321,15.631221,-0.000623,0.000352,0.002827,-0.648060,-0.830059,0.675900,0.016232,-1.328532,-0.036391,7.629262,99.578224,78.436020
46,0,0.011796,0.003956,0.000730,-54.945496,96.317200,15.635260,-0.000597,0.000384,0.002773,-0.642975,-0.823250,0.686791,0.020143,-1.328398,-0.034299,7.464737,99.581947,78.545197
47,0,0.011816,0.003785,0.000751,-54.939693,96.314629,15.640642,0.000700,0.000975,0.002407,-0.631021,-0.715045,1.011034,0.020128,-1.328284,-0.034335,7.465281,99.587715,78.559944
48,0,0.011738,0.003813,0.000748,-54.937614,96.312065,15.647905,0.000646,0.001008,0.002404,-0.629104,-0.713984,1.020632,0.020006,-1.328301,-0.034385,7.464816,99.586586,78.571159
49,0,0.011783,0.003704,0.000704,-54.938129,96.307785,15.654675,-0.000777,0.000451,0.002784,-0.643250,-0.828426,0.694896,0.019908,-1.328297,-0.034482,7.466605,99.582069,78.569572
50,0,0.011793,0.003946,0.000663,-54.942532,96.305992,15.648002,-0.000750,0.000489,0.002783,-0.643647,-0.829458,0.704420,0.019912,-1.328313,-0.034417,7.469912,99.580185,78.565132
51,0,0.011684,0.003894,0.000741,-54.941589,96.310600,15.641870,0.000695,0.000989,0.002416,-0.633900,-0.720903,1.016382,0.020054,-1.328341,-0.034365,7.469705,99.585434,78.554497
52,0,0.011741,0.003865,0.000716,-54.946762,96.315994,15.638992,-0.000767,0.000454,0.002826,-0.651141,-0.832973,0.679455,0.020032,-1.328290,-0.034447,7.463610,99.586540,78.553780
53,0,0.011690,0.003770,0.000670,-54.940777,96.314941,15.630648,-0.000657,0.000396,0.002836,-0.652089,-0.832307,0.681466,0.019819,-1.328322,-0.034429,7.466506,99.587173,78.546898
54,0,0.011550,0.003772,0.000703,-54.943062,96.315292,15.641824,-0.000631,0.000362,0.002888,-0.655683,-0.846039,0.676882,0.016198,-1.328586,-0.036455,7.629069,99.575134,78.448143
55,0,0.011773,0.003816,0.000692,-54.935482,96.311424,15.642274,0.000559,0.001072,0.002414,-0.626154,-0.714700,1.010107,0.019944,-1.328243,-0.034329,7.464114,99.584938,78.562241
56,0,0.011714,0.003923,0.000648,-54.937721,96.309052,15.644773,0.000654,0.001007,0.002417,-0.626414,-0.719070,1.013241,0.016178,-1.328572,-0.036414,7.632583,99.572502,78.453453
57,0,0.011690,0.003852,0.000694,-54.937405,96.307487,15.636241,-0.000559,0.000384,0.002805,-0.639888,-0.833865,0.695106,0.019964,-1.328322,-0.034345,7.465599,99.581924,78.552155
58,0,0.011801,0.003941,0.000731,-54.934757,96.309258,15.630577,-0.000584,0.000366,0.002797,-0.640393,-0.829949,0.686045,0.020033,-1.328347,-0.034319,7.467435,99.586823,78.551453
59,0,0.011665,0.003939,0.000715,-54.938442,96.312477,15.633743,-0.000618,0.000361,0.002850,-0.651909,-0.835390,0.675635,0.019998,-1.328366,-0.034345,7.466893,99.589828,78.546043
60,0,0.011659,0.003900,0.000661,-54.943203,96.312042,15.635153,-0.000683,0.000455,0.002805,-0.644922,-0.828468,0.691348,0.019975,-1.328323,-0.034331,7.471097,99.585541,78.543121
61,0,0.011790,0.003927,0.000711,-54.942665,96.312904,15.640922,-0.000622,0.000404,0.002805,-0.643951,-0.827428,0.690229,0.020015,-1.328353,-0.034368,7.470559,99.583092,78.551483
62,0,0.011740,0.003781,0.000680,-54.940022,96.313194,15.649592,-0.000564,0.000356,0.002834,-0.643680,-0.832550,0.695718,0.019947,-1.328240,-0.034418,7.464797,99.584412,78.566246
63,0,0.011796,0.003931,0.000705,-54.937378,96.311256,15.648549,-0.000576,0.000431,0.002749,-0.631790,-0.819618,0.710764,0.019926,-1.328309,-0.034402,7.466863,99.583984,78.560745
64,0,0.011622,0.003808,0.000571,-54.940735,96.310905,15.643867,-0.000432,0.000279,0.002802,-0.643237,-0.830206,0.694610,0.019808,-1.328283,-0.034455,7.468089,99.582153,78.556213
65,0,0.011748,0.003878,0.000677,-54.941505,96.311226,15.642021,-0.000704,0.000445,0.002777,-0.640331,-0.828506,0.693408,0.020055,-1.328312,-0.034390,7.466918,99.583565,78.556023
66,0,0.011718,0.003862,0.000686,-54.943657,96.311272,15.640449,0.000553,0.001056,0.002423,-0.636496,-0.717725,1.012663,0.020082,-1.328322,-0.034312,7.460613,99.584808,78.560692
67,0,0.011777,0.003923,0.000658,-54.939724,96.310616,15.643354,-0.000521,0.000296,0.002816,-0.647460,-0.836195,0.688876,0.016154,-1.328643,-0.036442,7.633571,99.571617,78.446960
68,0,0.011628,0.003866,0.000700,-54.943123,96.311501,15.647624,0.000646,0.000959,0.002413,-0.631084,-0.716340,1.006682,0.020006,-1.328326,-0.034389,7.465068,99.587288,78.561195
