Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.011642,0.003468,0.000712,-54.932941,96.308830,15.654951,-0.000406,0.000475,0.002849,-0.663134,-0.838072,0.743433,0.010755,-1.324438,-0.038389,7.602723,99.615280,78.534225
2,0,0.011564,0.003448,0.000690,-54.937412,96.307419,15.651738,-0.000313,0.000436,0.002860,-0.667887,-0.839579,0.742934,0.013976,-1.324657,-0.036748,7.472211,99.620232,78.612839
3,0,0.011591,0.003543,0.000734,-54.937313,96.306221,15.648598,-0.000448,0.000513,0.002852,-0.666116,-0.841918,0.740139,0.010831,-1.324600,-0.038415,7.608544,99.610085,78.520401
4,0,0.011656,0.003452,0.000708,-54.933495,96.304092,15.654503,-0.000367,0.000456,0.002843,-0.660407,-0.839145,0.747727,0.010808,-1.324555,-0.038366,7.608643,99.611290,78.522194
5,0,0.011787,0.003527,0.000762,-54.931297,96.305573,15.653048,-0.000463,0.000534,0.002860,-0.658966,-0.843513,0.751483,0.017528,-1.324999,-0.037915,7.473703,99.536331,78.609833
6,0,0.011714,0.003489,0.000619,-54.928555,96.306427,15.653796,-0.000508,0.000547,0.002871,-0.660337,-0.843664,0.749477,0.014249,-1.325130,-0.039582,7.597043,99.525269,78.531532
7,0,0.011632,0.003494,0.000682,-54.932251,96.305008,15.646383,-0.000553,0.000569,0.002828,-0.654507,-0.835788,0.738021,0.010846,-1.324525,-0.038373,7.613569,99.609848,78.517212
8,0,0.011650,0.003428,0.000724,-54.931267,96.307869,15.639786,-0.000197,0.000385,0.002818,-0.655157,-0.830174,0.743076,0.010865,-1.324490,-0.038405,7.613822,99.616875,78.512375
9,0,0.011658,0.003505,0.000711,-54.932152,96.307030,15.642233,-0.000442,0.000534,0.002829,-0.657135,-0.836337,0.737476,0.013838,-1.324251,-0.039408,7.629240,99.537651,78.475388
10,0,0.011635,0.003539,0.000643,-54.931255,96.303604,15.640941,-0.000412,0.000500,0.002859,-0.660221,-0.843719,0.740618,0.014073,-1.325216,-0.039731,7.603018,99.525352,78.515877
11,0,0.011589,0.003336,0.000619,-54.928329,96.303490,15.644496,-0.000346,0.000426,0.002847,-0.654170,-0.843639,0.742384,0.010844,-1.324627,-0.038371,7.622071,99.607285,78.517990
12,0,0.011616,0.003567,0.000676,-54.933273,96.307457,15.656153,-0.000439,0.000450,0.002897,-0.661866,-0.849582,0.738451,0.010820,-1.324431,-0.038352,7.612101,99.613594,78.525787
13,0,0.011678,0.003388,0.000661,-54.933090,96.307648,15.654355,-0.000479,0.000544,0.002822,-0.655894,-0.834348,0.753542,0.010838,-1.324525,-0.038367,7.612082,99.609329,78.520607
14,0,0.011686,0.003439,0.000669,-54.935131,96.305824,15.645584,-0.000472,0.000526,0.002855,-0.663234,-0.838284,0.746304,0.010778,-1.324450,-0.038259,7.603650,99.612221,78.524658
15,0,0.011604,0.003461,0.000674,-54.939671,96.310715,15.649261,-0.000548,0.000632,0.002837,-0.660291,-0.834938,0.757572,0.014155,-1.324625,-0.036617,7.470891,99.619102,78.609245
16,0,0.011633,0.003550,0.000741,-54.937054,96.307732,15.647949,-0.000320,0.000392,0.002868,-0.666193,-0.846343,0.736901,0.014066,-1.324586,-0.036690,7.474380,99.616577,78.611168
17,0,0.011561,0.003521,0.000676,-54.938160,96.306625,15.654007,-0.000485,0.000535,0.002846,-0.660752,-0.840899,0.747472,0.010854,-1.324467,-0.038255,7.606222,99.613823,78.527893
18,0,0.011647,0.003473,0.000639,-54.934406,96.304939,15.662811,-0.000495,0.000579,0.002848,-0.660066,-0.840167,0.762500,0.014060,-1.324629,-0.036632,7.479734,99.616356,78.621696
19,0,0.011619,0.003509,0.000709,-54.933186,96.304993,15.661861,-0.000470,0.000551,0.002819,-0.655755,-0.836640,0.761523,0.013738,-1.324092,-0.039528,7.624917,99.530411,78.498787
20,0,0.011609,0.003552,0.000684,-54.934738,96.305626,15.659590,-0.000484,0.000538,0.002845,-0.658911,-0.838957,0.754600,0.010753,-1.324569,-0.038443,7.610290,99.612083,78.532097
21,0,0.011714,0.003543,0.000600,-54.931824,96.304092,15.650168,-0.000582,0.000527,0.002857,-0.657732,-0.841874,0.733245,0.010785,-1.324602,-0.038367,7.609986,99.611130,78.526642
22,0,0.011717,0.003669,0.000749,-54.931606,96.309479,15.643558,-0.000514,0.000527,0.002861,-0.660050,-0.841913,0.736601,0.010570,-1.324587,-0.038477,7.611914,99.616623,78.511246
23,0,0.011707,0.003607,0.000739,-54.930977,96.307159,15.642591,-0.000381,0.000453,0.002866,-0.661745,-0.841018,0.734803,0.013784,-1.324405,-0.039494,7.634111,99.532425,78.471519
24,0,0.011688,0.003576,0.000686,-54.929371,96.303108,15.642738,-0.000483,0.000553,0.002900,-0.661939,-0.851715,0.743071,0.010817,-1.324507,-0.038451,7.616079,99.608749,78.505173
25,0,0.011739,0.003559,0.000680,-54.931877,96.304253,15.640558,-0.000479,0.000487,0.002876,-0.657635,-0.843773,0.731075,0.010934,-1.324437,-0.038340,7.610601,99.613274,78.513313
26,0,0.011513,0.003441,0.000638,-54.933151,96.307877,15.641542,-0.000501,0.000564,0.002846,-0.657291,-0.835212,0.740626,0.014091,-1.325172,-0.039718,7.595941,99.526703,78.517365
27,0,0.011630,0.003468,0.000685,-54.932392,96.307487,15.637904,-0.000342,0.000426,0.002843,-0.656474,-0.837505,0.733169,0.011035,-1.324427,-0.038418,7.607154,99.611755,78.512985
28,0,0.011765,0.003505,0.000794,-54.936123,96.305740,15.642362,-0.000574,0.000617,0.002848,-0.659296,-0.836523,0.737770,0.010828,-1.324477,-0.038435,7.607071,99.612000,78.514259
29,0,0.011715,0.003508,0.000723,-54.937931,96.304832,15.650249,-0.000382,0.000444,0.002839,-0.662698,-0.838919,0.744022,0.010799,-1.324473,-0.038348,7.602492,99.610741,78.531471
30,0,0.011673,0.003616,0.000695,-54.933628,96.303978,15.664929,-0.000448,0.000436,0.002870,-0.665405,-0.844067,0.744860,0.010847,-1.324569,-0.038341,7.612174,99.609207,78.536842
31,0,0.011657,0.003533,0.000641,-54.931900,96.300514,15.673237,-0.000491,0.000560,0.002836,-0.661753,-0.840885,0.773942,0.010649,-1.324575,-0.038460,7.609902,99.608345,78.549683
32,0,0.011640,0.003512,0.000699,-54.931137,96.300980,15.675320,-0.000632,0.000586,0.002865,-0.663370,-0.846971,0.765481,0.010956,-1.324592,-0.038338,7.619767,99.607628,78.543083
33,0,0.011676,0.003671,0.000702,-54.932270,96.303879,15.669641,-0.000459,0.000547,0.002804,-0.651352,-0.835888,0.771788,0.010739,-1.324549,-0.038358,7.610831,99.609261,78.541908
34,0,0.011715,0.003468,0.000647,-54.931339,96.304604,15.651609,-0.000348,0.000453,0.002824,-0.659085,-0.833763,0.749326,0.013891,-1.325226,-0.039816,7.600237,99.520004,78.519081
35,0,0.011642,0.003509,0.000693,-54.933399,96.305946,15.637284,-0.000581,0.000575,0.002875,-0.663834,-0.846987,0.725763,0.010796,-1.324531,-0.038353,7.615614,99.611336,78.505646
36,0,0.011720,0.003477,0.000710,-54.927765,96.308144,15.629342,-0.000410,0.000497,0.002837,-0.650270,-0.836343,0.724867,0.010807,-1.324469,-0.038441,7.615306,99.611755,78.501678
37,0,0.011599,0.003548,0.000647,-54.931232,96.306831,15.633605,-0.000445,0.000545,0.002847,-0.652186,-0.838547,0.734261,0.010907,-1.324456,-0.038317,7.609357,99.609322,78.502563
38,0,0.011672,0.003467,0.000720,-54.925789,96.302681,15.638269,-0.000437,0.000544,0.002848,-0.649740,-0.840323,0.742469,0.014210,-1.324548,-0.036589,7.480106,99.612953,78.596939
39,0,0.011772,0.003621,0.000674,-54.928505,96.304596,15.649021,-0.000464,0.000495,0.002860,-0.655120,-0.842598,0.738813,0.017402,-1.324945,-0.037951,7.474288,99.534760,78.603874
40,0,0.011665,0.003558,0.000733,-54.929966,96.301910,15.647034,-0.000383,0.000471,0.002888,-0.662466,-0.848182,0.747879,0.010915,-1.324549,-0.038264,7.610837,99.606377,78.517639
41,0,0.011607,0.003333,0.000722,-54.936058,96.301834,15.645404,-0.000266,0.000445,0.002843,-0.661876,-0.838908,0.753729,0.010881,-1.324564,-0.038330,7.615325,99.609627,78.513451
42,0,0.011664,0.003525,0.000753,-54.936501,96.304100,15.648108,-0.000462,0.000486,0.002858,-0.665129,-0.846490,0.739177,0.010926,-1.324545,-0.038291,7.611430,99.608749,78.513474
43,0,0.011661,0.003443,0.000698,-54.940022,96.304993,15.654087,-0.000607,0.000620,0.002886,-0.663586,-0.849023,0.751748,0.010819,-1.324514,-0.038378,7.608054,99.611031,78.532585
44,0,0.011584,0.003577,0.000722,-54.935764,96.301582,15.666514,-0.000553,0.000554,0.002854,-0.660570,-0.844249,0.754426,0.010880,-1.324548,-0.038294,7.615517,99.609612,78.537781
45,0,0.011636,0.003413,0.000707,-54.936535,96.300735,15.671017,-0.000612,0.000608,0.002848,-0.661248,-0.843074,0.763628,0.010955,-1.324621,-0.038304,7.610682,99.607239,78.542328
46,0,0.011666,0.003540,0.000677,-54.935123,96.305725,15.669400,-0.000525,0.000584,0.002904,-0.668270,-0.852388,0.766820,0.010889,-1.324565,-0.038305,7.610272,99.613617,78.543198
47,0,0.011673,0.003549,0.000641,-54.935997,96.309662,15.662132,-0.000543,0.000548,0.002849,-0.662281,-0.838487,0.748427,0.013924,-1.325179,-0.039818,7.592974,99.530685,78.536491
48,0,0.011518,0.003343,0.000709,-54.936169,96.307320,15.647685,-0.000438,0.000492,0.002826,-0.658226,-0.833887,0.743897,0.010738,-1.324570,-0.038399,7.613244,99.612068,78.519417
49,0,0.011651,0.003430,0.000697,-54.935314,96.303886,15.641250,-0.000455,0.000556,0.002822,-0.657655,-0.835146,0.748588,0.014239,-1.324652,-0.036539,7.478957,99.616638,78.598862
50,0,0.011749,0.003451,0.000713,-54.934105,96.304909,15.637547,-0.000583,0.000628,0.002850,-0.659484,-0.841544,0.745920,0.010855,-1.324560,-0.038414,7.610764,99.611389,78.509773
51,0,0.011678,0.003527,0.000693,-54.929470,96.302925,15.639706,-0.000287,0.000439,0.002866,-0.661971,-0.846862,0.750640,0.014199,-1.324608,-0.036585,7.475644,99.615089,78.603714
52,0,0.011751,0.003544,0.000726,-54.930096,96.304405,15.644019,-0.000363,0.000441,0.002851,-0.657350,-0.843956,0.740671,0.017389,-1.324990,-0.037958,7.475518,99.533081,78.600128
53,0,0.011705,0.003496,0.000671,-54.932503,96.301582,15.643742,-0.000642,0.000591,0.002858,-0.656043,-0.842636,0.727298,0.010976,-1.324485,-0.038310,7.605005,99.606613,78.521896
54,0,0.011653,0.003463,0.000727,-54.933983,96.303009,15.640851,-0.000516,0.000540,0.002858,-0.661078,-0.842353,0.732879,0.014269,-1.325148,-0.039631,7.592062,99.522682,78.518074
55,0,0.011763,0.003521,0.000674,-54.937626,96.306847,15.636061,-0.000419,0.000487,0.002873,-0.662795,-0.841459,0.734282,0.014192,-1.325200,-0.039675,7.593880,99.528206,78.510567
56,0,0.011625,0.003530,0.000632,-54.935673,96.307022,15.648684,-0.000503,0.000539,0.002871,-0.665977,-0.843412,0.741864,0.010763,-1.324555,-0.038417,7.612454,99.610641,78.513802
57,0,0.011634,0.003426,0.000627,-54.933949,96.303749,15.658496,-0.000586,0.000630,0.002835,-0.661413,-0.835923,0.761550,0.010689,-1.324650,-0.038430,7.613351,99.610153,78.530121
58,0,0.011635,0.003654,0.000608,-54.933773,96.305374,15.672790,-0.000392,0.000467,0.002826,-0.659975,-0.838399,0.765942,0.010655,-1.324549,-0.038431,7.613695,99.611618,78.548233
59,0,0.011737,0.003633,0.000679,-54.935886,96.304092,15.674628,-0.000566,0.000570,0.002832,-0.660468,-0.841411,0.764650,0.010723,-1.324621,-0.038410,7.617579,99.608673,78.541100
60,0,0.011639,0.003546,0.000661,-54.934959,96.302780,15.667982,-0.000362,0.000455,0.002813,-0.653677,-0.835079,0.762390,0.013984,-1.324643,-0.036657,7.479455,99.614571,78.627380
61,0,0.011758,0.003573,0.000655,-54.937225,96.306587,15.649891,-0.000486,0.000566,0.002868,-0.663979,-0.844736,0.753122,0.014046,-1.324674,-0.036659,7.479243,99.615959,78.610413
62,0,0.011782,0.003471,0.000752,-54.939697,96.306274,15.640902,-0.000407,0.000502,0.002846,-0.662968,-0.837158,0.735679,0.013932,-1.324647,-0.036700,7.473380,99.618324,78.601921
63,0,0.011749,0.003400,0.000681,-54.937210,96.302704,15.633786,-0.000505,0.000539,0.002872,-0.662337,-0.841351,0.726471,0.013783,-1.324290,-0.039501,7.622920,99.531570,78.467667
64,0,0.011603,0.003396,0.000653,-54.934875,96.303391,15.642142,-0.000492,0.000550,0.002869,-0.662115,-0.843460,0.739099,0.013992,-1.324176,-0.039386,7.621742,99.530945,78.479752
65,0,0.011645,0.003335,0.000751,-54.931248,96.299782,15.649678,-0.000599,0.000581,0.002847,-0.657158,-0.843373,0.739145,0.014236,-1.324609,-0.036639,7.480350,99.611610,78.610275
66,0,0.011632,0.003484,0.000676,-54.928944,96.301315,15.649421,-0.000400,0.000506,0.002824,-0.652851,-0.837958,0.750980,0.014082,-1.324624,-0.036709,7.482569,99.611649,78.606758
67,0,0.011651,0.003510,0.000665,-54.929798,96.302155,15.646051,-0.000580,0.000587,0.002841,-0.657488,-0.841558,0.741314,0.014184,-1.325214,-0.039690,7.601114,99.522339,78.518173
