Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
31,0,0.003099,0.006616,0.003459,-54.970917,96.340134,15.515929,0.002247,0.001606,0.002761,-0.701406,-0.740058,1.323959,0.007517,-1.319256,-0.032380,8.117841,100.184067,78.206543
32,0,0.003179,0.006772,0.003411,-54.974224,96.334679,15.524963,0.002109,0.001668,0.002748,-0.702606,-0.741923,1.328990,0.009911,-1.319142,-0.031129,8.017884,100.187225,78.280029
33,0,0.003168,0.006785,0.003404,-54.975021,96.332054,15.536726,0.002865,0.002053,0.001746,-0.547768,-0.535354,1.528603,0.009964,-1.319168,-0.031072,8.018029,100.183083,78.290733
34,0,0.003236,0.006713,0.003475,-54.976543,96.333580,15.551207,0.002270,0.001562,0.002724,-0.703001,-0.741100,1.352224,0.007641,-1.319474,-0.032402,8.121069,100.176758,78.235786
35,0,0.003190,0.006693,0.003379,-54.976463,96.342010,15.567100,0.002187,0.001587,0.002747,-0.706206,-0.741366,1.357576,0.010774,-1.320512,-0.030300,8.274950,100.165596,78.144539
36,0,0.003318,0.006685,0.003410,-54.978260,96.339577,15.573957,0.001770,0.001661,0.001237,-0.527119,-0.387921,1.329845,0.007571,-1.319364,-0.032505,8.117064,100.178261,78.264793
37,0,0.003336,0.006946,0.003416,-54.979168,96.332550,15.586295,0.002020,0.001715,0.002773,-0.713027,-0.752539,1.379163,0.007496,-1.319440,-0.032441,8.122013,100.175674,78.267975
38,0,0.003372,0.006694,0.003420,-54.977654,96.333061,15.581777,0.001889,0.001736,0.001237,-0.516361,-0.392071,1.364036,0.007604,-1.319426,-0.032376,8.129555,100.176178,78.265114
39,0,0.003252,0.006751,0.003354,-54.969948,96.340088,15.562244,0.002629,0.002093,0.001780,-0.545748,-0.537049,1.531996,0.007578,-1.319560,-0.032346,8.134002,100.180000,78.245796
40,0,0.003306,0.006867,0.003402,-54.969086,96.342339,15.538543,0.002143,0.001685,0.002767,-0.704545,-0.741886,1.344865,0.007309,-1.319548,-0.032580,8.134159,100.183327,78.219597
41,0,0.003332,0.006703,0.003478,-54.967415,96.340561,15.516543,0.002198,0.001648,0.002745,-0.700287,-0.737736,1.328635,0.010729,-1.320595,-0.030302,8.288265,100.173203,78.093590
42,0,0.003150,0.006712,0.003367,-54.966457,96.340332,15.508965,0.002133,0.001663,0.002750,-0.698164,-0.736683,1.316509,0.010593,-1.320522,-0.030358,8.283472,100.169312,78.090805
43,0,0.003193,0.006737,0.003414,-54.964149,96.337990,15.513104,0.002239,0.001609,0.002708,-0.691251,-0.732837,1.323322,0.009982,-1.319154,-0.031051,8.026819,100.184555,78.269928
44,0,0.003276,0.006756,0.003398,-54.963112,96.339325,15.520259,0.002021,0.001737,0.002763,-0.699911,-0.743952,1.326145,0.010547,-1.320365,-0.030310,8.279044,100.165619,78.102745
45,0,0.003219,0.006666,0.003461,-54.970562,96.337090,15.531976,0.002167,0.001618,0.002750,-0.699941,-0.740653,1.331759,0.010845,-1.320386,-0.030246,8.272840,100.167610,78.109772
46,0,0.003411,0.006924,0.003429,-54.972958,96.334625,15.541023,0.002201,0.001621,0.002772,-0.708437,-0.746841,1.343611,0.007478,-1.319230,-0.032454,8.113369,100.178558,78.232368
47,0,0.003344,0.006764,0.003430,-54.977581,96.330299,15.545524,0.002214,0.001598,0.002749,-0.710857,-0.747330,1.348229,0.010669,-1.320387,-0.030264,8.265783,100.163712,78.131340
48,0,0.003242,0.006673,0.003435,-54.977112,96.333122,15.553870,0.002097,0.001670,0.002772,-0.712664,-0.751996,1.352311,0.010561,-1.320530,-0.030322,8.273550,100.162949,78.136795
49,0,0.003265,0.006773,0.003380,-54.978542,96.340302,15.566968,0.002921,0.001972,0.001733,-0.546476,-0.531245,1.543405,0.009961,-1.319311,-0.031173,8.028434,100.186356,78.310120
50,0,0.003271,0.006825,0.003439,-54.977127,96.339699,15.572415,0.001950,0.001855,0.001207,-0.507258,-0.386440,1.388401,0.007504,-1.319410,-0.032421,8.125809,100.180519,78.257874
51,0,0.003400,0.006801,0.003399,-54.977627,96.340950,15.581254,0.002758,0.002129,0.001755,-0.545036,-0.534812,1.561014,0.007653,-1.319473,-0.032393,8.130294,100.179535,78.260117
52,0,0.003247,0.006734,0.003374,-54.974060,96.339874,15.571387,0.001807,0.001734,0.001241,-0.516389,-0.388761,1.339793,0.010772,-1.320639,-0.030287,8.291241,100.169754,78.142220
53,0,0.003256,0.006711,0.003359,-54.970451,96.336861,15.556419,0.002129,0.001616,0.002715,-0.700267,-0.736819,1.345807,0.007427,-1.319548,-0.032444,8.133206,100.177147,78.239502
54,0,0.003245,0.006821,0.003372,-54.971329,96.342751,15.532933,0.002293,0.001576,0.002788,-0.710840,-0.751863,1.345621,0.007575,-1.319487,-0.032432,8.126215,100.180710,78.218346
55,0,0.003191,0.006726,0.003409,-54.967865,96.339409,15.515174,0.002201,0.001557,0.002744,-0.705447,-0.739869,1.317300,0.007685,-1.319322,-0.032372,8.119220,100.185074,78.208374
56,0,0.003244,0.006701,0.003348,-54.966759,96.333626,15.514149,0.002277,0.001566,0.002753,-0.700215,-0.744926,1.323956,0.013289,-1.320190,-0.028907,8.161311,100.176353,78.179787
57,0,0.003318,0.006713,0.003378,-54.964985,96.325737,15.519233,0.002190,0.001635,0.002755,-0.695915,-0.744874,1.324837,0.010734,-1.320213,-0.030216,8.273040,100.159645,78.111542
58,0,0.003255,0.006718,0.003367,-54.963856,96.330223,15.528101,0.002146,0.001700,0.002755,-0.695143,-0.743262,1.334055,0.013268,-1.319987,-0.028954,8.160016,100.177116,78.193924
59,0,0.003258,0.006793,0.003401,-54.967976,96.334229,15.527991,0.002268,0.001563,0.002764,-0.699341,-0.745848,1.327367,0.010932,-1.320375,-0.030220,8.279784,100.166420,78.106270
60,0,0.003189,0.006772,0.003334,-54.969471,96.341095,15.532467,0.002198,0.001633,0.002758,-0.701789,-0.741866,1.337720,0.007496,-1.319435,-0.032467,8.121268,100.186394,78.225769
61,0,0.003283,0.006644,0.003398,-54.970776,96.337059,15.546618,0.002148,0.001652,0.002731,-0.700876,-0.738427,1.350579,0.007347,-1.319524,-0.032487,8.132360,100.174484,78.232445
62,0,0.003418,0.006833,0.003460,-54.972759,96.337379,15.560112,0.002150,0.001603,0.002747,-0.707121,-0.745879,1.351798,0.007330,-1.319589,-0.032484,8.135367,100.176163,78.243927
63,0,0.003245,0.006883,0.003397,-54.974987,96.341003,15.571707,0.002140,0.001622,0.002750,-0.710094,-0.741689,1.366328,0.007359,-1.319630,-0.032544,8.133757,100.178261,78.253395
64,0,0.003326,0.006616,0.003465,-54.977501,96.342140,15.583433,0.002805,0.002099,0.001733,-0.543720,-0.534166,1.569409,0.007449,-1.319540,-0.032584,8.132124,100.182281,78.259438
65,0,0.003179,0.006622,0.003380,-54.974514,96.338806,15.577163,0.001976,0.001705,0.002759,-0.704139,-0.744152,1.363585,0.007500,-1.319536,-0.032457,8.132801,100.179085,78.258568
66,0,0.003348,0.006772,0.003389,-54.973724,96.333206,15.559769,0.001716,0.001743,0.001242,-0.517632,-0.386441,1.317066,0.007378,-1.319378,-0.032421,8.123410,100.176636,78.248238
67,0,0.003241,0.006756,0.003402,-54.976021,96.332588,15.536366,0.001868,0.001716,0.001240,-0.520110,-0.390536,1.314029,0.007502,-1.319233,-0.032419,8.112387,100.174812,78.231773
68,0,0.003282,0.006733,0.003504,-54.976597,96.338959,15.522920,0.002248,0.001564,0.002759,-0.707844,-0.747832,1.320133,0.010801,-1.320379,-0.030302,8.266170,100.169731,78.102585
