Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.001274,0.008169,0.003196,-55.027950,96.289650,15.458850,0.001437,0.001929,0.000638,-0.447060,-0.344756,1.296657,0.002237,-1.321854,-0.027445,8.118328,100.589958,78.236015
2,0,0.001204,0.008123,0.003215,-55.030811,96.289032,15.461191,-0.000347,0.001298,0.000615,-0.366698,-0.388318,0.907353,0.002331,-1.321796,-0.027450,8.116437,100.590332,78.233986
3,0,0.001133,0.008065,0.003188,-55.031288,96.291733,15.455782,-0.000251,0.001222,0.000628,-0.372740,-0.389126,0.894205,0.002204,-1.321783,-0.027492,8.113385,100.591469,78.228714
4,0,0.001293,0.008096,0.003207,-55.032486,96.294777,15.450407,0.001213,0.001761,0.000672,-0.460431,-0.341722,1.221596,0.002130,-1.321714,-0.027504,8.115774,100.589828,78.223457
5,0,0.001341,0.008135,0.003275,-55.031471,96.293388,15.448540,0.001272,0.001968,0.000653,-0.446111,-0.342031,1.276440,0.002450,-1.321805,-0.027360,8.109576,100.592453,78.222885
6,0,0.001175,0.008129,0.003134,-55.028206,96.288811,15.452169,0.001354,0.001882,0.000631,-0.447246,-0.341621,1.268065,0.002458,-1.321792,-0.027394,8.114933,100.591072,78.226372
7,0,0.001245,0.007881,0.003229,-55.028919,96.289772,15.453880,0.001277,0.001850,0.000670,-0.457339,-0.349283,1.253177,0.002165,-1.321841,-0.027447,8.117443,100.590530,78.228172
8,0,0.001212,0.008152,0.003190,-55.026955,96.291397,15.457291,0.001467,0.001851,0.000615,-0.447743,-0.338932,1.281813,0.002181,-1.321721,-0.027531,8.113836,100.588921,78.235077
9,0,0.001156,0.008023,0.003156,-55.031548,96.289078,15.456602,0.001355,0.001878,0.000676,-0.456750,-0.346684,1.271938,0.002124,-1.321705,-0.027608,8.109566,100.589142,78.234756
10,0,0.001232,0.008053,0.003289,-55.033119,96.290283,15.454352,0.001384,0.001866,0.000657,-0.457286,-0.343452,1.268506,0.002303,-1.321720,-0.027452,8.106645,100.590874,78.228897
11,0,0.001343,0.008033,0.003252,-55.035454,96.293900,15.450764,0.001096,0.001935,0.000694,-0.465392,-0.345478,1.246011,0.002330,-1.321887,-0.027390,8.115399,100.591988,78.226509
12,0,0.001234,0.008050,0.003254,-55.034412,96.292313,15.458406,0.001373,0.001970,0.000614,-0.444302,-0.337531,1.297737,0.002154,-1.321835,-0.027463,8.114017,100.590729,78.230698
13,0,0.001227,0.008236,0.003252,-55.030907,96.285431,15.462119,0.001354,0.001739,0.000670,-0.461938,-0.347108,1.246153,0.002310,-1.321715,-0.027457,8.111819,100.588486,78.239265
14,0,0.001198,0.008071,0.003147,-55.028446,96.291519,15.464612,0.001345,0.001906,0.000665,-0.453291,-0.348339,1.285078,0.002340,-1.321825,-0.027389,8.116462,100.590904,78.239037
15,0,0.001294,0.007955,0.003199,-55.033459,96.292526,15.461223,-0.000478,0.001237,0.000623,-0.371235,-0.387785,0.873707,0.002389,-1.321813,-0.027377,8.115160,100.589241,78.235001
16,0,0.001201,0.008064,0.003223,-55.032310,96.290321,15.457899,0.001106,0.001919,0.000663,-0.453306,-0.344669,1.240888,0.002490,-1.321761,-0.027379,8.115672,100.587685,78.229416
17,0,0.001169,0.008082,0.003158,-55.030647,96.292816,15.446244,-0.000718,0.001375,0.000618,-0.373338,-0.381599,0.857754,0.002159,-1.321856,-0.027503,8.112252,100.592987,78.222923
18,0,0.001369,0.008142,0.003145,-55.030743,96.294434,15.444706,0.001148,0.001857,0.000703,-0.468551,-0.351114,1.228229,0.002413,-1.321797,-0.027437,8.112279,100.592964,78.219223
19,0,0.001350,0.008054,0.003159,-55.030590,96.293968,15.450850,-0.000495,0.001247,0.000627,-0.374165,-0.384897,0.867014,0.002205,-1.321757,-0.027573,8.113789,100.589897,78.228310
20,0,0.001271,0.008131,0.003228,-55.028500,96.291519,15.456382,0.001067,0.001917,0.000692,-0.461788,-0.348033,1.239535,0.002454,-1.321852,-0.027330,8.116350,100.589539,78.226685
21,0,0.001234,0.008103,0.003262,-55.027229,96.291031,15.455529,-0.000414,0.001388,0.000633,-0.360194,-0.392616,0.917424,0.002425,-1.321797,-0.027370,8.120872,100.591805,78.231239
22,0,0.001147,0.008017,0.003226,-55.029278,96.292770,15.456805,0.001402,0.001912,0.000647,-0.444952,-0.341842,1.290106,0.002248,-1.321839,-0.027548,8.117455,100.592613,78.230965
23,0,0.001238,0.008125,0.003239,-55.029343,96.290688,15.448948,0.001233,0.001901,0.000665,-0.452543,-0.341495,1.251777,0.002120,-1.321799,-0.027565,8.117208,100.594269,78.224937
24,0,0.001220,0.007986,0.003135,-55.032173,96.289154,15.446573,0.001122,0.001778,0.000695,-0.470150,-0.349715,1.205597,0.002328,-1.321883,-0.027399,8.115952,100.590721,78.221939
25,0,0.001213,0.008044,0.003259,-55.032799,96.291748,15.450294,-0.000534,0.001196,0.000601,-0.378892,-0.376569,0.846427,0.002285,-1.321868,-0.027435,8.115444,100.591904,78.223175
26,0,0.001218,0.008024,0.003223,-55.033657,96.293045,15.460307,0.001379,0.001803,0.000650,-0.453169,-0.346688,1.258444,0.002287,-1.321849,-0.027442,8.116624,100.590302,78.233742
27,0,0.001262,0.008036,0.003190,-55.029064,96.290398,15.466338,0.001417,0.001727,0.000667,-0.458499,-0.347370,1.258284,0.002282,-1.321798,-0.027428,8.115943,100.591072,78.241623
28,0,0.001192,0.008065,0.003163,-55.030636,96.288574,15.471485,-0.000428,0.001172,0.002256,-0.583379,-0.767075,0.876151,0.002159,-1.321804,-0.027423,8.113965,100.586739,78.246536
29,0,0.001220,0.008086,0.003210,-55.033512,96.290840,15.466228,0.001175,0.001877,0.000640,-0.455908,-0.338260,1.249630,0.002274,-1.321747,-0.027498,8.117264,100.589195,78.233536
30,0,0.001297,0.008049,0.003144,-55.032135,96.292831,15.453065,0.001302,0.001914,0.000639,-0.450888,-0.339828,1.266694,0.002116,-1.321816,-0.027469,8.111901,100.595726,78.225922
31,0,0.001348,0.008047,0.003285,-55.029152,96.290634,15.441343,0.001494,0.001838,0.000640,-0.446499,-0.341301,1.273888,0.002304,-1.321790,-0.027548,8.116818,100.594734,78.217644
32,0,0.001262,0.008041,0.003245,-55.028961,96.291084,15.441381,-0.000398,0.001381,0.000593,-0.361670,-0.380961,0.899928,0.002233,-1.321852,-0.027530,8.121391,100.591644,78.213516
33,0,0.001300,0.008016,0.003222,-55.025436,96.289467,15.445517,0.001007,0.001960,0.000668,-0.455786,-0.343527,1.233629,0.002320,-1.321826,-0.027426,8.120745,100.593185,78.218498
34,0,0.001235,0.008127,0.003248,-55.024426,96.288734,15.454192,0.001310,0.001679,0.000664,-0.456220,-0.343650,1.222825,0.002263,-1.321762,-0.027440,8.121385,100.591728,78.231438
35,0,0.001264,0.007956,0.003233,-55.027500,96.289421,15.456355,-0.000417,0.001287,0.000614,-0.367601,-0.384636,0.892703,0.002415,-1.321778,-0.027470,8.115075,100.590172,78.234573
36,0,0.001286,0.008020,0.003205,-55.029354,96.292229,15.461033,-0.000324,0.001258,0.000633,-0.369415,-0.387412,0.901592,0.002164,-1.321802,-0.027495,8.120693,100.590012,78.233253
37,0,0.001193,0.008150,0.003189,-55.032257,96.292152,15.451493,0.001356,0.001920,0.000649,-0.452140,-0.345437,1.284409,0.002255,-1.321826,-0.027446,8.116530,100.591087,78.227631
38,0,0.001192,0.008155,0.003273,-55.033058,96.292656,15.451605,0.001311,0.001773,0.000654,-0.461469,-0.343940,1.239579,0.002137,-1.321787,-0.027515,8.110906,100.592026,78.225487
39,0,0.001220,0.008211,0.003226,-55.033749,96.290421,15.455004,0.001088,0.001802,0.000678,-0.467208,-0.342985,1.215209,0.002236,-1.321752,-0.027572,8.113173,100.589684,78.230095
40,0,0.001219,0.008082,0.003223,-55.032936,96.289383,15.457759,0.001263,0.001848,0.000662,-0.456935,-0.347338,1.250086,0.002260,-1.321741,-0.027493,8.114657,100.589745,78.232628
41,0,0.001209,0.008017,0.003185,-55.029465,96.289619,15.460005,0.001122,0.001821,0.000681,-0.461067,-0.346782,1.229580,0.002372,-1.321823,-0.027442,8.116415,100.589455,78.237076
42,0,0.001318,0.008120,0.003278,-55.031395,96.291740,15.457075,-0.000329,0.001193,0.000617,-0.373035,-0.384763,0.882577,0.002223,-1.321800,-0.027434,8.114855,100.588020,78.240738
43,0,0.001199,0.007964,0.003272,-55.030628,96.291901,15.457037,0.001645,0.001969,0.000598,-0.438209,-0.339431,1.332474,0.002319,-1.321795,-0.027435,8.113622,100.591400,78.232613
44,0,0.001247,0.008058,0.003215,-55.032867,96.292336,15.452360,0.001406,0.001921,0.000640,-0.450000,-0.339172,1.292215,0.002232,-1.321760,-0.027487,8.111446,100.592239,78.231171
45,0,0.001338,0.008065,0.003196,-55.033913,96.294151,15.452662,-0.000381,0.001255,0.000605,-0.373415,-0.382166,0.888107,0.002197,-1.321808,-0.027446,8.115555,100.591385,78.226852
46,0,0.001289,0.008042,0.003253,-55.031670,96.290230,15.454186,0.001456,0.001859,0.000654,-0.452141,-0.344790,1.281027,0.002426,-1.321780,-0.027421,8.115148,100.591988,78.232338
47,0,0.001318,0.008182,0.003217,-55.029411,96.287292,15.459379,0.001319,0.001840,0.000626,-0.450642,-0.339014,1.267798,0.002169,-1.321765,-0.027569,8.115290,100.587036,78.231842
48,0,0.001263,0.008104,0.003182,-55.023991,96.288971,15.456727,0.001316,0.002014,0.000627,-0.447762,-0.343649,1.299029,0.002257,-1.321758,-0.027475,8.119800,100.586777,78.231560
49,0,0.001264,0.007944,0.003225,-55.026932,96.291695,15.452853,0.001467,0.001812,0.000645,-0.451465,-0.343342,1.271404,0.002290,-1.321748,-0.027326,8.114233,100.589592,78.230164
50,0,0.001230,0.008032,0.003184,-55.030407,96.290817,15.444941,0.001151,0.001894,0.000679,-0.459069,-0.346718,1.240555,0.002186,-1.321807,-0.027542,8.114224,100.588867,78.217560
51,0,0.001297,0.008168,0.003274,-55.033260,96.292953,15.447757,0.001310,0.001860,0.000673,-0.457740,-0.343633,1.253838,0.002128,-1.321706,-0.027508,8.111990,100.592690,78.221909
52,0,0.001308,0.008074,0.003234,-55.034206,96.291367,15.448619,0.000977,0.001935,0.000668,-0.455951,-0.344326,1.228186,0.002257,-1.321690,-0.027478,8.111854,100.588631,78.222771
53,0,0.001295,0.008071,0.003213,-55.032364,96.292953,15.454697,0.001340,0.001955,0.000639,-0.449333,-0.341548,1.287261,0.002287,-1.321798,-0.027376,8.111110,100.593147,78.231926
54,0,0.001255,0.008070,0.003259,-55.031208,96.288368,15.458474,0.001271,0.001849,0.000640,-0.456412,-0.340497,1.259726,0.002242,-1.321739,-0.027511,8.113757,100.592049,78.240204
