Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.001516,0.007818,0.003636,-55.071918,96.275124,15.454725,-0.001032,0.001539,0.000664,-0.419056,-0.412130,0.869704,0.010819,-1.334629,-0.023263,6.700598,100.642326,78.595291
2,0,0.001456,0.007648,0.003525,-55.070007,96.277771,15.457578,-0.001000,0.001609,0.000640,-0.411141,-0.416010,0.893374,0.010798,-1.334670,-0.023349,6.703526,100.633987,78.593628
3,0,0.001481,0.007697,0.003579,-55.066536,96.275497,15.462624,-0.000835,0.001574,0.000600,-0.399183,-0.408409,0.914332,0.010690,-1.334712,-0.023391,6.707016,100.636208,78.603142
4,0,0.001462,0.007799,0.003557,-55.063789,96.275101,15.462777,-0.000944,0.001492,0.000664,-0.410394,-0.414124,0.882572,0.010662,-1.334716,-0.023478,6.707441,100.637527,78.605232
5,0,0.001479,0.007731,0.003643,-55.065327,96.271217,15.457720,-0.000901,0.001576,0.000632,-0.400750,-0.410717,0.903133,0.010671,-1.334720,-0.023544,6.704942,100.639603,78.596909
6,0,0.001479,0.007759,0.003518,-55.067276,96.276817,15.447934,-0.001053,0.001435,0.000658,-0.418689,-0.409098,0.838682,0.010753,-1.334813,-0.023361,6.710788,100.635559,78.580292
7,0,0.001546,0.007685,0.003564,-55.069557,96.279800,15.436471,-0.001258,0.001696,0.000643,-0.406758,-0.406517,0.856949,0.010679,-1.334830,-0.023355,6.706625,100.641373,78.576370
8,0,0.001390,0.007628,0.003497,-55.067429,96.277084,15.437822,-0.000669,0.001767,0.000590,-0.387199,-0.409686,0.960185,0.010689,-1.334680,-0.023393,6.699914,100.638794,78.576012
9,0,0.001537,0.007682,0.003595,-55.068718,96.278679,15.445700,-0.001136,0.001604,0.000625,-0.411821,-0.403774,0.861381,0.010581,-1.334717,-0.023364,6.708939,100.638290,78.576859
10,0,0.001402,0.007670,0.003572,-55.065338,96.273987,15.454742,-0.001142,0.001589,0.000621,-0.403721,-0.405761,0.863711,0.010465,-1.334691,-0.023486,6.702933,100.636742,78.590973
11,0,0.001524,0.007773,0.003547,-55.068565,96.269402,15.461230,-0.000809,0.001527,0.000617,-0.402478,-0.408667,0.900418,0.010514,-1.334654,-0.023444,6.703243,100.635040,78.594917
12,0,0.001540,0.007750,0.003629,-55.069977,96.269318,15.459869,-0.001159,0.001576,0.000626,-0.406514,-0.411716,0.869197,0.010799,-1.334633,-0.023342,6.703810,100.635002,78.594940
13,0,0.001517,0.007744,0.003562,-55.071014,96.273758,15.452516,-0.001045,0.001470,0.000640,-0.419226,-0.409192,0.852515,0.010793,-1.334582,-0.023349,6.697177,100.640800,78.596130
14,0,0.001483,0.007833,0.003534,-55.073513,96.279579,15.456174,-0.001097,0.001572,0.000636,-0.413896,-0.410083,0.868286,0.010773,-1.334697,-0.023335,6.697374,100.641388,78.592010
15,0,0.001453,0.007695,0.003569,-55.070255,96.279289,15.453217,-0.001113,0.001549,0.000625,-0.413851,-0.406847,0.861350,0.010709,-1.334718,-0.023404,6.699558,100.642044,78.595795
16,0,0.001615,0.007806,0.003576,-55.071896,96.277611,15.457644,-0.000799,0.001590,0.000634,-0.411735,-0.415175,0.916721,0.010649,-1.334675,-0.023460,6.698853,100.640099,78.604141
17,0,0.001486,0.007673,0.003553,-55.068886,96.278847,15.467765,-0.001203,0.001537,0.000637,-0.417111,-0.403760,0.848972,0.010693,-1.334836,-0.023432,6.704168,100.638885,78.595612
18,0,0.001575,0.007651,0.003493,-55.069855,96.278267,15.468779,-0.000876,0.001393,0.000651,-0.412442,-0.414795,0.869394,0.010798,-1.334747,-0.023280,6.707539,100.642525,78.604500
