Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.004086,0.006215,0.003334,-54.971897,96.290550,15.558877,0.002293,0.001802,0.002752,-0.695808,-0.756293,1.418146,0.016334,-1.312380,-0.029066,8.258404,100.134865,78.390862
2,0,0.004345,0.006156,0.003347,-54.974514,96.291672,15.567535,0.002368,0.001768,0.002760,-0.697627,-0.761226,1.424385,0.016521,-1.312346,-0.028978,8.261758,100.129608,78.391907
3,0,0.004046,0.006054,0.003254,-54.971226,96.292091,15.577808,0.002365,0.001845,0.002733,-0.688547,-0.754574,1.445684,0.016220,-1.312373,-0.029113,8.265100,100.129822,78.401649
4,0,0.004097,0.006149,0.003282,-54.968395,96.289192,15.579160,0.002319,0.001810,0.002766,-0.695113,-0.760238,1.439211,0.016388,-1.312389,-0.029047,8.268635,100.129128,78.402809
5,0,0.004027,0.006079,0.003247,-54.969032,96.292030,15.577632,0.002274,0.001861,0.002769,-0.697642,-0.762370,1.442814,0.016339,-1.312445,-0.029008,8.263783,100.131157,78.404419
6,0,0.004023,0.006109,0.003288,-54.969128,96.291801,15.574560,0.002438,0.001745,0.002776,-0.697359,-0.763932,1.437637,0.016386,-1.312363,-0.028996,8.265596,100.131180,78.399445
7,0,0.004163,0.006177,0.003309,-54.972569,96.288284,15.569058,0.002260,0.001840,0.002783,-0.696589,-0.763481,1.427303,0.016354,-1.312405,-0.029038,8.264268,100.132004,78.391541
8,0,0.004025,0.006215,0.003270,-54.971867,96.291939,15.565368,0.002288,0.001864,0.002763,-0.696539,-0.761223,1.431171,0.016433,-1.312451,-0.028963,8.265793,100.128754,78.393417
9,0,0.004148,0.006231,0.003241,-54.971783,96.293884,15.567323,0.002275,0.001827,0.002786,-0.699713,-0.763706,1.424042,0.016386,-1.312384,-0.029030,8.262614,100.130905,78.394646
10,0,0.004078,0.006127,0.003350,-54.971848,96.289398,15.572153,0.002242,0.001875,0.002783,-0.697132,-0.767367,1.432696,0.016472,-1.312285,-0.029053,8.262457,100.128403,78.401375
11,0,0.004151,0.006256,0.003318,-54.970013,96.290665,15.579335,0.002423,0.001757,0.002797,-0.699863,-0.766385,1.436263,0.016367,-1.312432,-0.029012,8.264579,100.131096,78.403053
12,0,0.004083,0.006220,0.003186,-54.973267,96.292702,15.583409,0.002314,0.001790,0.002779,-0.700075,-0.762831,1.434170,0.016484,-1.312349,-0.028934,8.258845,100.129257,78.406754
13,0,0.004156,0.006079,0.003247,-54.975201,96.291183,15.578547,0.002333,0.001804,0.002789,-0.701716,-0.764651,1.439493,0.016434,-1.312470,-0.029008,8.261694,100.132805,78.403618
14,0,0.004202,0.006355,0.003282,-54.973221,96.295174,15.579619,0.002192,0.001916,0.002764,-0.698623,-0.760385,1.442718,0.016447,-1.312346,-0.029010,8.261697,100.130989,78.403809
15,0,0.004241,0.006139,0.003340,-54.969944,96.290054,15.572288,0.002535,0.001652,0.002763,-0.699115,-0.762900,1.433604,0.016528,-1.312456,-0.028957,8.261478,100.132858,78.397675
16,0,0.004089,0.006120,0.003253,-54.970421,96.291245,15.573248,0.002251,0.001846,0.002786,-0.698539,-0.766457,1.431218,0.016348,-1.312314,-0.029068,8.261055,100.129272,78.403152
17,0,0.004179,0.006131,0.003335,-54.967976,96.288841,15.574198,0.002200,0.001916,0.002779,-0.694911,-0.763700,1.436240,0.016435,-1.312462,-0.029039,8.266025,100.130966,78.397820
18,0,0.004103,0.006070,0.003322,-54.970757,96.292732,15.576303,0.002248,0.001818,0.002764,-0.696558,-0.760839,1.420436,0.016481,-1.312454,-0.029008,8.265149,100.132889,78.393127
19,0,0.004068,0.006081,0.003244,-54.970661,96.292770,15.568744,0.002230,0.001876,0.002792,-0.696284,-0.765197,1.430147,0.016499,-1.312394,-0.029005,8.266382,100.131149,78.392250
20,0,0.004111,0.006093,0.003286,-54.970699,96.292755,15.563764,0.002340,0.001810,0.002773,-0.697967,-0.761930,1.425993,0.016399,-1.312409,-0.028998,8.262348,100.132751,78.389839
21,0,0.004157,0.006248,0.003231,-54.972084,96.292809,15.570263,0.002333,0.001801,0.002789,-0.704304,-0.764139,1.430468,0.016454,-1.312465,-0.028991,8.261995,100.128662,78.395462
