Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.009856,0.004757,-0.000204,-54.925499,96.281059,15.599344,0.000704,0.000957,0.002377,-0.632194,-0.715447,0.998208,0.021942,-1.290384,-0.032875,9.430498,99.624557,78.333748
2,0,0.009886,0.004779,-0.000143,-55.004070,96.345848,15.637796,0.000579,0.001038,0.002370,-0.634442,-0.715549,0.998696,0.021860,-1.290465,-0.032964,9.431747,99.623390,78.337479
3,0,0.009899,0.004925,-0.000191,-54.996891,96.341858,15.650982,0.000575,0.001047,0.002341,-0.625706,-0.707565,1.015686,0.022006,-1.290338,-0.032823,9.434307,99.620338,78.355019
4,0,0.009850,0.004927,-0.000247,-54.914089,96.277733,15.634727,0.000642,0.001240,0.002579,-0.679739,-0.748961,1.086896,0.022045,-1.290397,-0.032724,9.440064,99.619431,78.365837
5,0,0.009783,0.004745,-0.000193,-54.911808,96.278908,15.640331,0.000529,0.001105,0.002367,-0.623968,-0.715823,1.042999,0.021950,-1.290476,-0.032809,9.444872,99.619537,78.363022
6,0,0.009764,0.004821,-0.000202,-54.914333,96.276649,15.626063,0.000611,0.001047,0.002354,-0.626630,-0.715863,1.032987,0.022030,-1.290457,-0.032860,9.444087,99.621178,78.357880
7,0,0.010040,0.004901,-0.000143,-54.918617,96.283295,15.606057,0.000549,0.001074,0.002328,-0.624925,-0.706814,1.013879,0.021941,-1.290476,-0.032783,9.438860,99.622757,78.337944
8,0,0.009967,0.004954,-0.000150,-54.916389,96.283958,15.597017,0.000653,0.001019,0.002360,-0.627696,-0.711368,0.997874,0.021936,-1.290439,-0.032860,9.441631,99.624161,78.330856
9,0,0.009806,0.004845,-0.000159,-54.995052,96.345985,15.628429,0.000543,0.001040,0.002330,-0.618835,-0.705142,0.985409,0.022061,-1.290526,-0.032816,9.436445,99.623253,78.322716
10,0,0.009887,0.004842,-0.000142,-54.987225,96.344368,15.634082,0.000770,0.001164,0.002610,-0.674745,-0.747465,1.051076,0.022017,-1.290384,-0.032811,9.443209,99.621124,78.333252
11,0,0.009780,0.004710,-0.000237,-54.909397,96.275093,15.615245,0.000714,0.000988,0.002341,-0.613487,-0.711299,1.016984,0.021895,-1.290359,-0.032882,9.445685,99.615425,78.344269
12,0,0.009828,0.004841,-0.000186,-54.906773,96.275124,15.616034,0.000601,0.001062,0.002363,-0.615109,-0.713370,1.020807,0.021810,-1.290332,-0.032894,9.447125,99.618698,78.350227
13,0,0.009822,0.004859,-0.000100,-54.910797,96.278374,15.611567,0.000539,0.001055,0.002370,-0.622431,-0.717344,1.009413,0.022066,-1.290468,-0.032798,9.441681,99.617867,78.342804
14,0,0.009838,0.004946,-0.000211,-54.914566,96.278526,15.605390,0.000599,0.001013,0.002356,-0.626887,-0.710732,1.003355,0.021921,-1.290385,-0.032868,9.437222,99.622551,78.337814
15,0,0.009924,0.004871,-0.000109,-54.998379,96.344887,15.628793,0.000738,0.000922,0.002359,-0.629493,-0.711194,0.996169,0.021933,-1.290386,-0.032922,9.435822,99.624588,78.331665
16,0,0.009899,0.004914,-0.000165,-54.998341,96.344582,15.638046,0.000630,0.001040,0.002365,-0.626077,-0.714833,1.010415,0.022198,-1.290403,-0.032653,9.438064,99.618423,78.332298
17,0,0.009903,0.004839,-0.000142,-54.994167,96.341080,15.653333,0.000519,0.001086,0.002336,-0.623828,-0.707498,1.015439,0.021963,-1.290479,-0.032836,9.439249,99.618896,78.346016
18,0,0.009855,0.004795,-0.000185,-54.995369,96.336815,15.668283,0.000513,0.001116,0.002361,-0.621454,-0.714718,1.030783,0.022079,-1.290367,-0.032776,9.437573,99.615479,78.361572
19,0,0.009837,0.004796,-0.000224,-54.916252,96.276161,15.635403,0.000460,0.001162,0.002341,-0.621471,-0.711711,1.032991,0.021952,-1.290367,-0.032799,9.442899,99.617081,78.364021
20,0,0.009760,0.004704,-0.000198,-54.920036,96.283096,15.625143,0.000533,0.001098,0.002380,-0.630531,-0.715332,1.024653,0.021985,-1.290344,-0.032751,9.437196,99.617081,78.351547
21,0,0.009891,0.004697,-0.000187,-54.923454,96.282043,15.607384,0.000471,0.001087,0.002355,-0.633036,-0.712733,1.004452,0.022143,-1.290433,-0.032705,9.432808,99.615654,78.341637
22,0,0.009799,0.004983,-0.000172,-55.001198,96.344955,15.639372,0.000662,0.000988,0.002340,-0.632095,-0.706694,1.003346,0.022021,-1.290394,-0.032800,9.430380,99.620552,78.337402
23,0,0.009969,0.004813,-0.000239,-54.920441,96.277451,15.609805,0.000574,0.001077,0.002330,-0.625200,-0.707479,1.014612,0.021954,-1.290446,-0.032897,9.435982,99.620567,78.345322
24,0,0.009886,0.004598,-0.000096,-54.990498,96.336975,15.649889,0.000551,0.001077,0.002362,-0.624831,-0.714413,1.018340,0.022076,-1.290484,-0.032747,9.441318,99.614937,78.347542
25,0,0.009810,0.004801,-0.000140,-54.985245,96.341377,15.655418,0.000496,0.001077,0.002333,-0.610342,-0.709011,1.018930,0.022066,-1.290368,-0.032782,9.447138,99.618027,78.356079
26,0,0.009973,0.004921,-0.000239,-54.903282,96.272949,15.620651,0.000537,0.001092,0.002359,-0.613809,-0.715332,1.018594,0.021841,-1.290383,-0.032859,9.449874,99.614235,78.348442
27,0,0.009801,0.004833,-0.000226,-54.910633,96.273743,15.604348,0.000514,0.001096,0.002384,-0.621702,-0.717897,1.004708,0.021975,-1.290384,-0.032831,9.442107,99.617584,78.335625
28,0,0.009782,0.004770,-0.000260,-54.918064,96.280159,15.591901,0.000625,0.001045,0.002355,-0.620578,-0.709743,0.990832,0.021989,-1.290352,-0.032868,9.437816,99.622429,78.324173
29,0,0.009732,0.004859,-0.000228,-54.917931,96.281471,15.586442,0.000492,0.001083,0.002354,-0.625787,-0.707914,0.984393,0.021881,-1.290403,-0.032867,9.435161,99.625275,78.319023
30,0,0.009837,0.004839,-0.000109,-55.000107,96.342598,15.627891,0.000645,0.000973,0.002380,-0.629699,-0.712322,0.988314,0.021885,-1.290364,-0.032915,9.434120,99.623344,78.330635
31,0,0.009949,0.004806,-0.000100,-54.993675,96.337402,15.650931,0.000716,0.000968,0.002345,-0.621441,-0.710467,1.019127,0.021932,-1.290428,-0.032786,9.439969,99.616653,78.349480
32,0,0.009733,0.004900,-0.000281,-54.916130,96.277397,15.640294,0.000635,0.001073,0.002343,-0.624319,-0.711346,1.044430,0.021933,-1.290439,-0.032906,9.442660,99.614601,78.369881
33,0,0.009801,0.004781,-0.000146,-54.992470,96.340614,15.674401,0.000774,0.001121,0.002594,-0.681687,-0.749566,1.086369,0.022155,-1.290433,-0.032681,9.439359,99.618019,78.368225
34,0,0.009841,0.004782,-0.000178,-54.998878,96.338997,15.663327,0.000464,0.001120,0.002358,-0.628085,-0.715415,1.028385,0.021957,-1.290453,-0.032780,9.443021,99.618729,78.363968
35,0,0.010021,0.005005,-0.000225,-55.002544,96.342453,15.650937,0.000605,0.001013,0.002359,-0.634681,-0.713465,1.009502,0.021972,-1.290436,-0.032819,9.437450,99.621170,78.344315
36,0,0.009896,0.004957,-0.000184,-54.999538,96.348824,15.643939,0.000607,0.001045,0.002349,-0.627667,-0.708292,1.009914,0.022026,-1.290443,-0.032754,9.435911,99.621521,78.336479
37,0,0.009935,0.004817,-0.000188,-54.997475,96.344711,15.639948,0.000503,0.001088,0.002352,-0.625913,-0.706424,1.005236,0.022020,-1.290404,-0.032784,9.437853,99.620575,78.340500
38,0,0.009938,0.004858,-0.000133,-54.992214,96.339233,15.651576,0.000557,0.001118,0.002405,-0.628496,-0.719609,1.024468,0.022100,-1.290417,-0.032721,9.442134,99.620659,78.344063
39,0,0.009892,0.004838,-0.000186,-54.913616,96.275002,15.625201,0.000529,0.001075,0.002353,-0.618048,-0.710862,1.020538,0.022063,-1.290400,-0.032739,9.443857,99.611916,78.353134
40,0,0.009762,0.004767,-0.000207,-54.908451,96.275871,15.617152,0.000605,0.001029,0.002360,-0.617247,-0.711681,1.017083,0.021809,-1.290365,-0.032925,9.442073,99.621696,78.354927
41,0,0.009906,0.004832,-0.000141,-54.993076,96.339386,15.634955,0.000546,0.001081,0.002359,-0.623656,-0.713247,1.008377,0.022030,-1.290409,-0.032792,9.440498,99.622086,78.337822
42,0,0.009781,0.004853,-0.000187,-54.916710,96.280205,15.591872,0.000674,0.000944,0.002351,-0.623806,-0.709289,0.985998,0.022020,-1.290393,-0.032767,9.439457,99.622528,78.327644
43,0,0.009872,0.004939,-0.000195,-54.995842,96.345459,15.622231,0.000529,0.001069,0.002379,-0.626444,-0.711808,0.988879,0.021941,-1.290446,-0.032801,9.442119,99.627167,78.321602
44,0,0.009888,0.004882,-0.000130,-54.993587,96.341743,15.634969,0.000479,0.001109,0.002351,-0.619387,-0.709378,0.997872,0.021945,-1.290389,-0.032824,9.442318,99.626007,78.332306
45,0,0.009786,0.004794,-0.000209,-54.910427,96.272690,15.619984,0.000637,0.001040,0.002361,-0.619278,-0.716090,1.020227,0.021923,-1.290378,-0.032786,9.445868,99.618301,78.346832
46,0,0.009695,0.004625,-0.000102,-54.909668,96.272415,15.630322,0.000443,0.001141,0.002350,-0.615862,-0.710295,1.026969,0.021849,-1.290354,-0.032852,9.450237,99.616554,78.362816
47,0,0.009711,0.004648,-0.000152,-54.908367,96.276100,15.633307,0.000633,0.001022,0.002349,-0.620670,-0.713583,1.033953,0.022083,-1.290427,-0.032691,9.447523,99.614609,78.363281
48,0,0.009869,0.004878,-0.000131,-54.995544,96.347130,15.649852,0.000732,0.001165,0.002579,-0.687376,-0.746457,1.070584,0.022042,-1.290404,-0.032711,9.433449,99.620308,78.348045
49,0,0.009955,0.004910,-0.000224,-54.923897,96.280838,15.610393,0.000615,0.001027,0.002361,-0.638507,-0.712161,1.012908,0.021982,-1.290416,-0.032809,9.431289,99.624008,78.344704
50,0,0.009821,0.004909,-0.000108,-54.921291,96.282784,15.610539,0.000517,0.001069,0.002339,-0.630861,-0.704265,1.006140,0.021955,-1.290500,-0.032800,9.436556,99.626564,78.339096
51,0,0.009888,0.004816,-0.000083,-54.995617,96.349602,15.649688,0.000552,0.001071,0.002363,-0.631621,-0.709645,1.012392,0.022055,-1.290472,-0.032781,9.436220,99.624992,78.349113
52,0,0.009918,0.004780,-0.000115,-54.993538,96.345581,15.656665,0.000565,0.001078,0.002381,-0.626127,-0.715839,1.023295,0.022027,-1.290467,-0.032753,9.441279,99.622780,78.351295
53,0,0.009880,0.004839,-0.000196,-54.912487,96.278236,15.630454,0.000456,0.001124,0.002351,-0.615971,-0.710385,1.022060,0.021981,-1.290459,-0.032760,9.443946,99.617798,78.354942
54,0,0.009884,0.004939,-0.000248,-54.910038,96.280602,15.619864,0.000480,0.001131,0.002328,-0.613963,-0.705579,1.021124,0.022057,-1.290418,-0.032655,9.441260,99.621071,78.347458
55,0,0.009894,0.005064,-0.000170,-54.992298,96.344513,15.636225,0.000562,0.001066,0.002346,-0.623135,-0.710144,1.006053,0.022018,-1.290374,-0.032860,9.436508,99.623276,78.340614
56,0,0.009857,0.004933,-0.000181,-54.917583,96.278252,15.590976,0.000659,0.001010,0.002344,-0.626575,-0.709426,0.997454,0.021977,-1.290348,-0.032911,9.435084,99.623955,78.327850
