Objects
100
,,Global Angle base_module:base_module,,,,,,Global Angle fusion_base:fusion_base,,,,,,Global Angle lifted_angle:lifted_angle,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm,rad,rad,rad,mm,mm,mm
1,0,0.004100,0.006155,0.003319,-54.979710,96.278137,15.562987,0.002551,0.001779,0.002769,-0.699020,-0.780975,1.446449,0.011066,-1.320969,-0.031958,7.887654,100.051727,78.382271
2,0,0.004246,0.006062,0.003397,-54.974533,96.275696,15.565154,0.002095,0.001914,0.001148,-0.493124,-0.400116,1.416076,0.011354,-1.320868,-0.031845,7.887555,100.050575,78.384972
3,0,0.004057,0.006064,0.003342,-54.973801,96.274773,15.566826,0.002407,0.001878,0.002760,-0.692510,-0.780822,1.447593,0.011285,-1.320845,-0.031947,7.887565,100.049881,78.385178
4,0,0.004056,0.006119,0.003353,-54.973831,96.277824,15.564944,0.002447,0.001838,0.002783,-0.696713,-0.784753,1.443220,0.011174,-1.320869,-0.031939,7.888825,100.050728,78.391144
5,0,0.004075,0.006156,0.003315,-54.976986,96.272018,15.566745,0.002501,0.001887,0.002496,-0.655943,-0.721540,1.467398,0.011276,-1.320868,-0.031914,7.888665,100.050507,78.387016
6,0,0.004157,0.006209,0.003278,-54.976086,96.277611,15.566461,0.002347,0.001919,0.002778,-0.698506,-0.785849,1.449823,0.011196,-1.320907,-0.031944,7.888576,100.050453,78.383881
7,0,0.004179,0.006259,0.003332,-54.978065,96.276291,15.566116,0.001675,0.001715,0.001150,-0.513354,-0.392563,1.320721,0.011177,-1.320972,-0.032013,7.892532,100.052399,78.386436
8,0,0.004077,0.006079,0.003350,-54.978848,96.272728,15.575593,0.003211,0.002185,0.001917,-0.557427,-0.611098,1.646894,0.011407,-1.321021,-0.031807,7.892715,100.048492,78.393082
9,0,0.004302,0.006200,0.003298,-54.975761,96.274773,15.583536,0.002151,0.001979,0.001151,-0.495097,-0.405432,1.458733,0.011215,-1.321001,-0.031952,7.890832,100.051033,78.403099
10,0,0.004157,0.006099,0.003367,-54.974953,96.273026,15.583975,0.001967,0.001933,0.001123,-0.497359,-0.397651,1.421268,0.011134,-1.321025,-0.032045,7.894865,100.048386,78.398979
11,0,0.004080,0.006082,0.003360,-54.976009,96.275681,15.579802,0.002420,0.001829,0.002799,-0.704461,-0.790642,1.454676,0.011314,-1.320947,-0.031914,7.888863,100.049446,78.397873
12,0,0.004149,0.006166,0.003362,-54.976044,96.277367,15.566162,0.001458,0.001710,0.001176,-0.520497,-0.393949,1.284474,0.011400,-1.320967,-0.031836,7.886708,100.050163,78.386856
13,0,0.004158,0.006108,0.003380,-54.982506,96.277489,15.560489,0.002651,0.001740,0.002769,-0.697634,-0.784955,1.444901,0.011233,-1.320969,-0.031965,7.884202,100.053398,78.384064
14,0,0.004165,0.006120,0.003332,-54.978767,96.274696,15.559896,0.002294,0.001925,0.002784,-0.699343,-0.787156,1.437544,0.011120,-1.320848,-0.031994,7.886350,100.049309,78.379517
15,0,0.004068,0.006210,0.003310,-54.979149,96.277893,15.564035,0.001594,0.001790,0.001173,-0.515445,-0.396848,1.317433,0.015143,-1.321997,-0.029300,8.046245,100.048378,78.287552
16,0,0.004091,0.006207,0.003330,-54.977158,96.274368,15.571190,0.001963,0.001995,0.001132,-0.487181,-0.401119,1.421948,0.011328,-1.320939,-0.031888,7.891875,100.050079,78.390297
17,0,0.004198,0.006162,0.003370,-54.975327,96.272194,15.577562,0.002052,0.001973,0.001104,-0.483502,-0.397548,1.437243,0.011395,-1.320917,-0.031822,7.889840,100.051414,78.396591
18,0,0.004231,0.006233,0.003382,-54.976646,96.272949,15.572101,0.002175,0.001785,0.001115,-0.494276,-0.396188,1.411653,0.011137,-1.320937,-0.032036,7.894869,100.044762,78.391029
19,0,0.004143,0.006191,0.003367,-54.974106,96.272942,15.568234,0.002175,0.002025,0.001114,-0.483821,-0.398970,1.458765,0.011229,-1.321089,-0.031946,7.898464,100.047661,78.384636
20,0,0.004102,0.006130,0.003302,-54.978546,96.274101,15.568268,0.002381,0.001889,0.002777,-0.699396,-0.788503,1.450846,0.011297,-1.320919,-0.031879,7.889217,100.049332,78.385986
21,0,0.004081,0.006103,0.003407,-54.976837,96.277489,15.565279,0.002536,0.001805,0.002776,-0.696798,-0.785706,1.453114,0.011127,-1.320940,-0.031996,7.891745,100.051918,78.388351
22,0,0.004182,0.006150,0.003325,-54.977497,96.274307,15.575680,0.002478,0.001800,0.002785,-0.694202,-0.786402,1.447667,0.015080,-1.322016,-0.029346,8.053926,100.051636,78.298309
23,0,0.004071,0.006263,0.003314,-54.971729,96.276360,15.579782,0.001965,0.001902,0.001141,-0.495031,-0.398062,1.401439,0.011230,-1.320982,-0.031859,7.892492,100.048416,78.394272
24,0,0.004081,0.006033,0.003349,-54.973183,96.274437,15.576406,0.001862,0.001883,0.001123,-0.492795,-0.392594,1.386209,0.011252,-1.320861,-0.031894,7.889484,100.050339,78.397179
25,0,0.004159,0.006146,0.003348,-54.976955,96.273888,15.572066,0.002391,0.001865,0.002792,-0.700319,-0.789267,1.450205,0.011340,-1.321025,-0.031917,7.892167,100.049660,78.387062
26,0,0.004122,0.006179,0.003259,-54.978622,96.278252,15.566580,0.002018,0.001914,0.001129,-0.496384,-0.399102,1.405259,0.011127,-1.320956,-0.031929,7.888433,100.049500,78.386223
27,0,0.004234,0.006211,0.003374,-54.976719,96.273849,15.563369,0.001713,0.001713,0.001176,-0.517003,-0.396713,1.319817,0.011312,-1.320909,-0.031839,7.889347,100.049911,78.384689
28,0,0.004139,0.006288,0.003383,-54.976894,96.274002,15.565373,0.002410,0.001894,0.002792,-0.705268,-0.793252,1.452109,0.011180,-1.320932,-0.031901,7.889067,100.047646,78.389305
29,0,0.004220,0.006166,0.003270,-54.976685,96.272621,15.571159,0.001584,0.001636,0.001163,-0.519487,-0.392753,1.294952,0.011338,-1.320946,-0.031863,7.889627,100.048477,78.392998
30,0,0.004107,0.006063,0.003316,-54.973560,96.275711,15.573667,0.002182,0.002024,0.002753,-0.691618,-0.783707,1.452626,0.011321,-1.320896,-0.031849,7.894430,100.046463,78.396667
31,0,0.004078,0.006088,0.003363,-54.977379,96.275772,15.574268,0.002314,0.001878,0.002776,-0.699599,-0.783356,1.442664,0.011262,-1.321012,-0.031904,7.890536,100.049858,78.393814
32,0,0.004280,0.006188,0.003331,-54.976196,96.276772,15.566646,0.001991,0.002027,0.001126,-0.485890,-0.395255,1.428277,0.011410,-1.320969,-0.031779,7.891062,100.050026,78.386345
33,0,0.004101,0.006165,0.003346,-54.978436,96.275238,15.563622,0.001926,0.001978,0.001137,-0.496198,-0.395339,1.409360,0.011297,-1.320933,-0.031844,7.888357,100.048035,78.384148
34,0,0.004173,0.006050,0.003288,-54.976135,96.276657,15.566836,0.001314,0.001710,0.001198,-0.529361,-0.396601,1.267652,0.011277,-1.320982,-0.031956,7.891321,100.050781,78.387360
35,0,0.004031,0.006196,0.003297,-54.977222,96.276840,15.570672,0.002454,0.001862,0.002785,-0.700285,-0.786321,1.459770,0.011346,-1.320934,-0.031866,7.892944,100.048882,78.391571
36,0,0.004069,0.006187,0.003369,-54.976948,96.276237,15.573740,0.002504,0.001816,0.002786,-0.701842,-0.789607,1.463180,0.011315,-1.321023,-0.031862,7.893699,100.047821,78.394058
37,0,0.004262,0.006262,0.003404,-54.976639,96.275307,15.577184,0.002388,0.001901,0.002798,-0.700359,-0.792050,1.461839,0.011373,-1.320974,-0.031883,7.892746,100.049179,78.393822
38,0,0.004235,0.006148,0.003309,-54.977833,96.274673,15.570501,0.001697,0.001876,0.001143,-0.502525,-0.395917,1.355507,0.011132,-1.320926,-0.031909,7.889887,100.048111,78.391281
39,0,0.004092,0.006130,0.003320,-54.975842,96.276909,15.563518,0.001898,0.001871,0.001133,-0.497353,-0.393291,1.376775,0.011371,-1.320893,-0.031857,7.883522,100.050797,78.388268
40,0,0.004109,0.006169,0.003405,-54.975468,96.276978,15.563272,0.001513,0.001590,0.001208,-0.528441,-0.394437,1.256828,0.015010,-1.321966,-0.029338,8.042939,100.047363,78.285873
41,0,0.004222,0.006274,0.003336,-54.982441,96.277000,15.563075,0.002347,0.001969,0.002481,-0.661052,-0.718215,1.461781,0.011265,-1.320961,-0.031864,7.887057,100.050919,78.382294
42,0,0.004151,0.006217,0.003334,-54.978226,96.278320,15.576125,0.001971,0.001838,0.001133,-0.503535,-0.395058,1.388681,0.011363,-1.320933,-0.031830,7.887779,100.046501,78.392197
43,0,0.004139,0.006164,0.003330,-54.979679,96.272858,15.577823,0.001873,0.001838,0.001140,-0.505951,-0.396241,1.380360,0.011225,-1.320958,-0.031918,7.889804,100.049065,78.397682
44,0,0.004162,0.006234,0.003350,-54.975536,96.273918,15.580276,0.002013,0.001953,0.001108,-0.491743,-0.395111,1.427773,0.011297,-1.321013,-0.031944,7.892172,100.048401,78.397346
45,0,0.004111,0.006177,0.003316,-54.977623,96.275673,15.574627,0.002377,0.001867,0.002803,-0.701095,-0.790572,1.454293,0.011189,-1.321042,-0.031950,7.891923,100.052414,78.392166
46,0,0.004247,0.006214,0.003357,-54.980488,96.279175,15.568121,0.002373,0.001845,0.001119,-0.483161,-0.397205,1.445590,0.011299,-1.320918,-0.031848,7.891307,100.054718,78.385056
47,0,0.004137,0.006141,0.003337,-54.975407,96.275856,15.565330,0.001899,0.001898,0.001166,-0.496377,-0.397060,1.389400,0.011108,-1.321015,-0.031914,7.893049,100.049400,78.381401
48,0,0.004047,0.006121,0.003377,-54.977814,96.275391,15.563735,0.001680,0.001849,0.001129,-0.505537,-0.386773,1.344019,0.011426,-1.320958,-0.031783,7.886263,100.049583,78.387451
49,0,0.004137,0.006183,0.003338,-54.978321,96.272064,15.566421,0.001891,0.001765,0.001163,-0.506511,-0.398369,1.353111,0.011293,-1.320926,-0.031938,7.888741,100.053215,78.385223
50,0,0.004051,0.006207,0.003330,-54.975746,96.275345,15.571780,0.002381,0.001872,0.002796,-0.699406,-0.789396,1.451832,0.011369,-1.320851,-0.031815,7.889375,100.047096,78.391335
51,0,0.004159,0.006090,0.003425,-54.977791,96.274780,15.574455,0.001724,0.001792,0.001134,-0.505616,-0.390899,1.347210,0.015161,-1.322048,-0.029258,8.046170,100.049393,78.294800
52,0,0.004148,0.006216,0.003367,-54.977230,96.272339,15.566800,0.001439,0.001648,0.001206,-0.532650,-0.399119,1.269008,0.011220,-1.320943,-0.031906,7.884883,100.051407,78.389252
53,0,0.004153,0.006258,0.003355,-54.978630,96.274170,15.567564,0.001321,0.001728,0.001200,-0.530852,-0.395825,1.266486,0.011345,-1.321019,-0.031861,7.888896,100.048309,78.386726
54,0,0.004097,0.006015,0.003364,-54.981831,96.277748,15.571076,0.001596,0.001778,0.001177,-0.519433,-0.395876,1.318507,0.011250,-1.320969,-0.031980,7.886456,100.050446,78.387817
55,0,0.004119,0.006115,0.003343,-54.975948,96.273376,15.575180,0.002402,0.001883,0.002797,-0.700210,-0.789343,1.454736,0.011295,-1.320980,-0.031913,7.892360,100.049942,78.387016
56,0,0.004214,0.006177,0.003256,-54.979580,96.275429,15.581922,0.001988,0.001811,0.001136,-0.500211,-0.396104,1.387703,0.011254,-1.320987,-0.031927,7.895121,100.048965,78.393143
57,0,0.004154,0.006185,0.003383,-54.975742,96.276199,15.579166,0.002072,0.001883,0.001136,-0.489936,-0.398448,1.418967,0.011228,-1.320958,-0.031900,7.897721,100.047417,78.395699
58,0,0.004187,0.006151,0.003417,-54.973064,96.276955,15.573095,0.001649,0.001765,0.001159,-0.510720,-0.394088,1.326462,0.011369,-1.320975,-0.031906,7.892852,100.049492,78.393417
59,0,0.004216,0.006087,0.003302,-54.975101,96.278519,15.566970,0.001938,0.001843,0.001131,-0.500961,-0.392939,1.378335,0.011254,-1.321022,-0.031842,7.890300,100.051460,78.383789
60,0,0.004216,0.006275,0.003390,-54.978683,96.279411,15.561475,0.002479,0.001807,0.002779,-0.701452,-0.783431,1.440803,0.011297,-1.320896,-0.031865,7.887981,100.052040,78.381935
61,0,0.004147,0.006190,0.003341,-54.977898,96.278618,15.562536,0.002305,0.001906,0.002782,-0.698919,-0.782468,1.441339,0.011329,-1.320958,-0.031964,7.887373,100.052925,78.383057
62,0,0.004162,0.006138,0.003285,-54.974545,96.276268,15.568183,0.002487,0.001830,0.002759,-0.694689,-0.784933,1.453411,0.011271,-1.320940,-0.031934,7.891205,100.049095,78.384872
63,0,0.004174,0.006168,0.003346,-54.973736,96.275467,15.572403,0.002403,0.001884,0.002787,-0.699251,-0.790464,1.453255,0.011195,-1.320881,-0.031951,7.888718,100.048401,78.394463
64,0,0.004182,0.006122,0.003279,-54.975079,96.273445,15.572051,0.002095,0.001833,0.001147,-0.496258,-0.399635,1.402430,0.011248,-1.320919,-0.031868,7.888422,100.048836,78.389526
65,0,0.004130,0.006275,0.003343,-54.976398,96.276505,15.568273,0.002474,0.001918,0.002480,-0.654928,-0.720671,1.470522,0.015066,-1.321990,-0.029359,8.047936,100.051346,78.290886
66,0,0.004111,0.006168,0.003324,-54.977684,96.274078,15.567522,0.001571,0.001789,0.001153,-0.515574,-0.390398,1.316452,0.011430,-1.320926,-0.031823,7.887694,100.051926,78.388603
